City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2022-06-28 17:59:41,-53.15,-70.9167,41.11,75,75,12.66
1,Matinhos,BR,2022-06-28 17:59:41,-25.8175,-48.5428,75.9,70,30,6.44
2,Bluff,NZ,2022-06-28 17:59:42,-46.6,168.3333,40.8,77,100,19.3
3,Oranjemund,NA,2022-06-28 17:59:42,-28.55,16.4333,72.45,32,0,10.98
4,Nanortalik,GL,2022-06-28 17:59:42,60.1432,-45.2371,47.07,66,100,14.5
5,Teguise,ES,2022-06-28 17:59:42,29.0605,-13.564,71.82,57,40,21.85
6,Rawson,AR,2022-06-28 17:59:43,-43.3002,-65.1023,57.02,48,100,20.89
7,Carnarvon,AU,2022-06-28 17:55:42,-24.8667,113.6333,65.28,43,0,17.76
8,Jamestown,US,2022-06-28 17:59:24,42.097,-79.2353,70.95,51,0,3.0
9,Cabo San Lucas,MX,2022-06-28 17:59:43,22.8909,-109.9124,92.61,66,100,5.86
10,Hermanus,ZA,2022-06-28 17:59:44,-34.4187,19.2345,63.73,52,0,7.47
11,Albany,US,2022-06-28 17:59:44,42.6001,-73.9662,74.88,55,17,7.36
12,Qaanaaq,GL,2022-06-28 17:59:44,77.484,-69.3632,46.08,49,52,2.53
13,Monteagudo,BO,2022-06-28 17:59:45,-19.8167,-63.9833,69.49,51,42,7.9
14,Bredasdorp,ZA,2022-06-28 17:59:45,-34.5322,20.0403,60.12,51,0,4.7
15,Tuatapere,NZ,2022-06-28 17:59:45,-46.1333,167.6833,41.95,86,100,8.46
16,Sarakhs,IR,2022-06-28 17:59:45,36.5449,61.1577,97.61,10,0,9.15
17,Gat,IL,2022-06-28 17:59:46,31.61,34.7642,79.81,100,0,7.07
18,Belen,TR,2022-06-28 17:56:08,36.4891,36.2233,67.26,84,8,5.39
19,Hithadhoo,MV,2022-06-28 17:59:46,-0.6,73.0833,82.71,73,71,4.32
20,Ushuaia,AR,2022-06-28 17:55:20,-54.8,-68.3,38.86,70,0,4.61
21,Palora,EC,2022-06-28 17:59:47,-1.7,-77.9333,80.71,47,9,4.9
22,Mar Del Plata,AR,2022-06-28 17:59:47,-38.0023,-57.5575,60.94,43,0,11.5
23,Ornskoldsvik,SE,2022-06-28 17:59:47,63.2909,18.7153,76.15,60,50,8.05
24,Padang,ID,2022-06-28 17:59:47,-0.9492,100.3543,76.21,85,100,3.02
25,Pisco,PE,2022-06-28 17:59:48,-13.7,-76.2167,64.45,72,20,11.5
26,Saint-Philippe,RE,2022-06-28 17:59:48,-21.3585,55.7679,65.79,72,47,13.2
27,Pangody,RU,2022-06-28 17:59:48,65.85,74.4859,52.52,45,99,26.46
28,Chokurdakh,RU,2022-06-28 17:59:49,70.6333,147.9167,45.07,74,98,4.56
29,Iwaki,JP,2022-06-28 17:59:49,37.05,140.8833,74.77,93,86,4.85
30,Nome,US,2022-06-28 17:59:49,64.5011,-165.4064,51.17,87,75,0.0
31,Mataura,NZ,2022-06-28 17:59:49,-46.1927,168.8643,40.48,80,100,4.29
32,Ajdabiya,LY,2022-06-28 17:59:50,30.7554,20.2263,83.34,55,0,18.48
33,Chuy,UY,2022-06-28 17:59:50,-33.6971,-53.4616,50.23,88,100,5.88
34,Dikson,RU,2022-06-28 17:59:50,73.5069,80.5464,32.02,96,87,15.01
35,Saint George,US,2022-06-28 17:59:51,37.1041,-113.5841,100.63,19,4,1.99
36,Namibe,AO,2022-06-28 17:59:51,-15.1961,12.1522,70.07,63,13,5.37
37,Rikitea,PF,2022-06-28 17:59:51,-23.1203,-134.9692,72.66,76,21,16.44
38,Mirpur Khas,PK,2022-06-28 17:59:52,25.5251,69.0159,90.55,61,84,18.3
39,Suntar,RU,2022-06-28 17:59:52,62.1444,117.6319,52.09,88,66,5.28
40,Port Alfred,ZA,2022-06-28 17:59:52,-33.5906,26.891,65.1,46,0,5.35
41,Bambous Virieux,MU,2022-06-28 17:59:53,-20.3428,57.7575,70.05,56,40,11.5
42,Nemuro,JP,2022-06-28 17:59:53,43.3236,145.575,54.77,100,100,7.05
43,Khatanga,RU,2022-06-28 17:59:53,71.9667,102.5,51.53,50,1,8.63
44,Atuona,PF,2022-06-28 17:55:19,-9.8,-139.0333,77.14,75,43,19.91
45,Yar-Sale,RU,2022-06-28 17:59:54,66.8333,70.8333,45.84,52,44,26.06
46,Talnakh,RU,2022-06-28 18:00:54,69.4865,88.3972,63.28,42,83,1.21
47,Tuktoyaktuk,CA,2022-06-28 18:00:54,69.4541,-133.0374,52.07,61,37,7.78
48,Kapaa,US,2022-06-28 18:00:55,22.0752,-159.319,78.12,77,100,3.0
49,Esperance,AU,2022-06-28 18:00:55,-33.8667,121.9,51.64,67,97,10.4
50,Lavrentiya,RU,2022-06-28 18:00:56,65.5833,-171.0,44.01,94,93,9.84
51,Busselton,AU,2022-06-28 18:00:56,-33.65,115.3333,47.8,84,3,9.19
52,Poum,NC,2022-06-28 18:00:57,-20.2333,164.0167,74.88,78,100,21.0
53,Puerto Ayora,EC,2022-06-28 18:00:58,-0.7393,-90.3518,71.55,88,38,5.99
54,Barrow,US,2022-06-28 18:00:58,71.2906,-156.7887,48.22,87,100,8.05
55,Yellowknife,CA,2022-06-28 17:57:12,62.456,-114.3525,68.56,28,20,13.8
56,Cassilandia,BR,2022-06-28 18:00:59,-19.1133,-51.7342,86.05,25,2,3.98
57,Ponta Do Sol,PT,2022-06-28 18:00:59,32.6667,-17.1,70.72,64,4,4.81
58,Ahuimanu,US,2022-06-28 18:01:00,21.4447,-157.8378,77.86,77,100,7.0
59,Korla,CN,2022-06-28 18:01:00,41.7597,86.1469,84.36,26,28,23.51
60,Trindade,BR,2022-06-28 18:01:01,-16.6494,-49.4889,85.91,21,0,2.3
61,Kahului,US,2022-06-28 18:01:01,20.8947,-156.47,78.84,80,96,13.0
62,Vaini,TO,2022-06-28 18:01:02,-21.2,-175.2,75.74,87,47,16.22
63,Port Elizabeth,ZA,2022-06-28 18:01:02,-33.918,25.5701,58.32,58,0,1.99
64,Pevek,RU,2022-06-28 18:01:03,69.7008,170.3133,43.84,83,98,9.57
65,Kodiak,US,2022-06-28 18:01:03,57.79,-152.4072,56.19,82,52,1.41
66,Salalah,OM,2022-06-28 18:01:04,17.0151,54.0924,81.5,91,100,6.42
67,Arenapolis,BR,2022-06-28 18:01:05,-14.4503,-56.8461,94.28,21,0,1.99
68,Waipawa,NZ,2022-06-28 18:01:05,-41.4122,175.5153,46.94,90,100,3.13
69,Luino,IT,2022-06-28 18:00:21,46.0019,8.7451,79.05,76,100,4.61
70,Ribeira Grande,PT,2022-06-28 18:01:06,38.5167,-28.7,70.2,83,40,19.57
71,Weligama,LK,2022-06-28 18:01:06,5.9667,80.4167,78.4,87,52,11.41
72,Nuuk,GL,2022-06-28 18:01:07,64.1835,-51.7216,47.01,81,100,13.8
73,Kieta,PG,2022-06-28 18:01:07,-6.2167,155.6333,77.47,83,55,4.54
74,Castro,BR,2022-06-28 18:01:08,-24.7911,-50.0119,68.34,60,51,9.62
75,New Norfolk,AU,2022-06-28 18:01:08,-42.7826,147.0587,50.72,88,100,1.01
76,Baykit,RU,2022-06-28 18:01:09,61.67,96.37,54.27,94,40,8.39
77,Aswan,EG,2022-06-28 18:01:09,24.0934,32.907,94.17,17,11,13.2
78,Airai,TL,2022-06-28 18:01:10,-8.9266,125.4092,57.97,92,78,3.94
79,Acarau,BR,2022-06-28 18:01:10,-2.8856,-40.12,83.43,61,10,14.74
80,Hilo,US,2022-06-28 18:01:10,19.7297,-155.09,78.62,89,34,3.0
81,Kavieng,PG,2022-06-28 18:01:11,-2.5744,150.7967,81.54,73,100,7.74
82,Thompson,CA,2022-06-28 18:01:11,55.7435,-97.8558,58.33,40,71,7.87
83,Ancud,CL,2022-06-28 18:01:12,-41.8697,-73.8203,55.22,97,100,7.81
84,Torbay,CA,2022-06-28 17:59:57,47.6666,-52.7314,77.77,61,75,29.93
85,Souillac,MU,2022-06-28 18:01:12,-20.5167,57.5167,70.41,62,25,17.94
86,Atasu,KZ,2022-06-28 18:01:12,48.6814,71.6433,69.08,31,0,5.28
87,Hami,CN,2022-06-28 18:01:13,42.8,93.45,87.17,20,45,9.86
88,Vestmannaeyjar,IS,2022-06-28 18:01:13,63.4427,-20.2734,50.99,93,75,11.5
89,Najran,SA,2022-06-28 18:02:13,17.4924,44.1277,87.13,18,72,5.5
90,Cartagena Del Chaira,CO,2022-06-28 18:02:14,1.3349,-74.8429,90.52,46,11,0.69
91,Verkhnyaya Inta,RU,2022-06-28 18:02:14,65.9811,60.3094,47.34,58,7,12.39
92,Porto Novo,BJ,2022-06-28 17:59:30,6.4965,2.6036,84.02,81,96,6.35
93,Geraldton,AU,2022-06-28 18:02:15,-28.7667,114.6,50.41,81,0,11.5
94,Santa Rosa,PH,2022-06-28 18:00:51,14.3122,121.1114,79.11,90,100,4.12
95,Broken Hill,AU,2022-06-28 18:02:16,-31.95,141.4333,47.84,47,100,5.99
96,Broome,US,2022-06-28 18:02:16,42.2506,-75.833,74.7,55,20,8.05
97,Iquique,CL,2022-06-28 18:02:17,-20.2208,-70.1431,70.05,65,21,12.03
98,Yakeshi,CN,2022-06-28 18:02:17,49.2833,120.7333,64.74,56,9,2.51
99,Hongjiang,CN,2022-06-28 18:02:18,27.11,109.9956,76.15,95,60,2.37
100,Freeport,US,2022-06-28 18:02:18,40.6576,-73.5832,79.99,51,75,11.5
101,Eskil,TR,2022-06-28 18:02:19,38.4017,33.4131,69.19,50,88,3.76
102,Los Llanos De Aridane,ES,2022-06-28 18:02:19,28.6585,-17.9182,67.75,73,40,17.27
103,Yerbogachen,RU,2022-06-28 18:02:20,61.2767,108.0108,60.78,96,100,3.44
104,Noumea,NC,2022-06-28 18:02:20,-22.2763,166.4572,73.99,99,97,9.75
105,Altrincham,GB,2022-06-28 18:02:21,53.3875,-2.3485,62.64,75,20,8.01
106,Kruisfontein,ZA,2022-06-28 18:02:21,-34.0033,24.7314,57.36,47,0,1.97
107,Ukiah,US,2022-06-28 18:00:06,39.1502,-123.2078,87.44,35,0,4.0
108,Marzuq,YE,2022-06-28 18:02:22,14.4,46.4667,82.4,46,92,3.38
109,Imperia,IT,2022-06-28 18:02:22,43.9667,7.7833,62.98,87,100,7.11
110,Xining,CN,2022-06-28 18:02:22,36.6167,101.7667,56.25,60,87,3.09
111,Leningradskiy,RU,2022-06-28 18:02:23,69.3833,178.4167,48.81,70,100,9.13
112,Golfito,CR,2022-06-28 18:02:23,8.639,-83.166,82.18,75,55,5.53
113,Altamira,BR,2022-06-28 17:59:57,-3.2033,-52.2064,91.27,42,8,0.34
114,Hobart,AU,2022-06-28 18:02:24,-42.8794,147.3294,51.06,81,100,6.91
115,Calabozo,VE,2022-06-28 18:02:24,8.9242,-67.4293,86.54,60,70,6.58
116,Aktau,KZ,2022-06-28 18:02:24,43.65,51.2,82.98,32,0,24.18
117,Minggang,CN,2022-06-28 18:02:25,32.4586,114.0486,78.1,58,2,7.83
118,Saint-Georges,GD,2022-06-28 17:59:14,12.0564,-61.7485,78.48,83,75,11.5
119,Georgetown,MY,2022-06-28 17:58:40,5.4112,100.3354,82.33,89,20,1.14
120,Severo-Kurilsk,RU,2022-06-28 18:02:25,50.6789,156.125,46.11,94,100,14.23
121,Ola,RU,2022-06-28 18:02:26,59.5833,151.2833,46.45,90,91,2.44
122,Lasa,IT,2022-06-28 18:02:26,46.6166,10.7002,62.37,91,93,4.32
123,Forbes,AU,2022-06-28 18:02:27,-33.3833,148.0167,43.92,86,70,2.57
124,Shahpur,IN,2022-06-28 18:02:27,16.7,76.8333,76.93,84,100,11.72
125,Ode,NG,2022-06-28 18:02:27,7.7899,5.7117,75.74,78,66,4.07
126,Sitka,US,2022-06-28 18:00:45,57.0531,-135.33,65.05,71,60,5.95
127,Umm Lajj,SA,2022-06-28 18:02:28,25.0213,37.2685,88.29,45,0,7.92
128,San Patricio,US,2022-06-28 18:02:28,28.017,-97.5169,92.12,42,76,9.71
129,Mut,TR,2022-06-28 18:02:28,36.6439,33.4389,80.15,44,72,3.36
130,Alta Floresta,BR,2022-06-28 18:02:29,-9.8756,-56.0861,94.95,23,7,2.95
131,Nacala,MZ,2022-06-28 18:02:29,-14.5428,40.6728,70.2,81,14,5.7
132,Mount Gambier,AU,2022-06-28 18:02:30,-37.8333,140.7667,41.43,66,16,9.44
133,Houma,US,2022-06-28 17:59:57,29.5958,-90.7195,91.0,71,53,4.0
134,Arraial Do Cabo,BR,2022-06-28 18:03:30,-22.9661,-42.0278,75.06,57,0,19.57
135,Parana,AR,2022-06-28 18:03:31,-31.732,-60.5238,62.56,58,84,7.56
136,Inhambane,MZ,2022-06-28 18:03:31,-23.865,35.3833,68.45,62,92,13.94
137,Samarai,PG,2022-06-28 18:03:31,-10.6167,150.6667,79.88,81,100,9.91
138,Kalmar,SE,2022-06-28 18:03:32,56.6616,16.3616,65.14,73,100,8.01
139,Longyearbyen,SJ,2022-06-28 18:03:32,78.2186,15.6401,48.04,76,0,5.75
140,Butaritari,KI,2022-06-28 18:03:32,3.0707,172.7902,82.29,79,100,16.89
141,Vaitape,PF,2022-06-28 18:03:33,-16.5167,-151.75,79.93,74,8,21.9
142,Lebu,CL,2022-06-28 18:03:33,-37.6167,-73.65,52.38,93,100,23.69
143,Luanda,AO,2022-06-28 18:03:34,-8.8368,13.2343,69.91,88,39,14.5
144,Maturin,VE,2022-06-28 18:03:34,9.75,-63.1767,85.05,65,100,9.91
145,Sosnovo-Ozerskoye,RU,2022-06-28 18:03:34,52.5249,111.5418,67.05,44,64,3.56
146,Rocha,UY,2022-06-28 18:03:34,-34.4833,-54.3333,50.31,80,100,4.54
147,Lanzhou,CN,2022-06-28 18:03:35,36.0564,103.7922,70.11,43,65,4.27
148,Great Falls,US,2022-06-28 17:59:55,47.5002,-111.3008,77.59,37,19,1.01
149,Huarmey,PE,2022-06-28 18:03:35,-10.0681,-78.1522,68.22,70,3,8.14
150,Port Augusta,AU,2022-06-28 18:03:36,-32.5,137.7667,48.94,41,96,5.35
151,Pauini,BR,2022-06-28 18:03:36,-7.7136,-66.9764,93.74,35,4,1.43
152,Bethel,US,2022-06-28 18:03:36,41.3712,-73.414,77.18,54,75,8.05
153,Sao Felix Do Xingu,BR,2022-06-28 18:00:46,-6.6447,-51.995,92.7,29,5,4.32
154,Esmeralda,CU,2022-06-28 18:03:37,21.8525,-78.1169,87.1,62,100,3.24
155,Rio Gallegos,AR,2022-06-28 18:03:37,-51.6226,-69.2181,39.25,70,0,6.91
156,Moree,AU,2022-06-28 18:03:37,-29.4667,149.85,45.91,73,43,7.78
157,Adrar,MR,2022-06-28 18:03:38,20.5022,-10.0711,102.61,11,4,13.56
158,La Union,PE,2022-06-28 18:03:38,-5.4,-80.75,78.35,45,7,10.07
159,Cape Town,ZA,2022-06-28 18:02:31,-33.9258,18.4232,68.34,43,0,1.99
160,Trairi,BR,2022-06-28 18:03:00,-3.2778,-39.2689,82.51,65,10,12.39
161,Sao Joao Da Barra,BR,2022-06-28 18:01:00,-21.6403,-41.0511,71.64,58,3,15.46
162,Mahibadhoo,MV,2022-06-28 18:03:39,3.7833,72.9667,82.96,77,12,11.1
163,Urumqi,CN,2022-06-28 18:03:39,43.801,87.6005,68.95,68,0,6.71
164,Paranhos,BR,2022-06-28 18:03:39,-23.8928,-55.4311,80.49,41,26,7.65
165,Taitung,TW,2022-06-28 18:03:40,22.7583,121.1444,79.95,84,100,1.43
166,Waitati,NZ,2022-06-28 18:03:40,-45.75,170.5667,42.8,68,91,4.88
167,Tala,EG,2022-06-28 18:03:40,30.6803,30.9429,79.79,51,0,9.19
168,Macamic,CA,2022-06-28 18:03:41,48.7502,-78.9996,68.81,60,23,9.55
169,Rassvet,RU,2022-06-28 18:03:41,46.8333,40.75,69.28,78,76,7.38
170,San Pedro De Ycuamandiyu,PY,2022-06-28 18:03:41,-24.0917,-57.0764,82.04,44,12,8.03
171,Merritt Island,US,2022-06-28 17:59:42,28.5392,-80.672,92.98,63,40,8.05
172,Cherskiy,RU,2022-06-28 18:03:42,68.75,161.3,43.39,85,100,11.03
173,Ahipara,NZ,2022-06-28 18:03:42,-35.1667,173.1667,56.53,93,100,11.03
174,Sawakin,SD,2022-06-28 18:03:42,19.1059,37.3321,89.78,44,31,14.03
175,Youghal,IE,2022-06-28 18:03:43,51.95,-7.8506,61.09,86,71,16.51
176,Leshukonskoye,RU,2022-06-28 18:03:43,64.8989,45.7622,50.07,53,6,8.12
177,Praia Da Vitoria,PT,2022-06-28 18:03:43,38.7333,-27.0667,71.85,83,75,13.06
178,Lundazi,ZM,2022-06-28 18:01:24,-12.2929,33.1782,59.92,68,100,7.99
179,Miandrivazo,MG,2022-06-28 18:03:44,-19.5167,45.4667,70.72,39,0,14.9
180,Albury,AU,2022-06-28 18:00:11,-36.0833,146.9167,35.33,91,42,3.31
181,Sinnamary,GF,2022-06-28 18:04:44,5.3833,-52.95,81.64,80,90,3.98
182,Kikwit,CD,2022-06-28 18:04:44,-5.041,18.8162,79.36,33,92,2.77
183,East London,ZA,2022-06-28 18:04:45,-33.0153,27.9116,63.46,44,0,5.68
184,Namatanai,PG,2022-06-28 18:04:45,-3.6667,152.4333,78.1,81,36,3.74
185,Chenzhou,CN,2022-06-28 18:04:45,25.8,113.0333,76.55,95,90,5.01
186,Cumana,VE,2022-06-28 18:04:46,10.4635,-64.1775,82.0,77,68,14.29
187,Miri,MY,2022-06-28 18:04:46,4.4148,114.0089,76.91,92,100,6.31
188,Aripuana,BR,2022-06-28 18:04:46,-9.1667,-60.6333,94.78,25,0,2.13
189,Abu Kamal,SY,2022-06-28 18:04:46,34.4506,40.9171,92.86,17,0,7.29
190,Karachi,PK,2022-06-28 18:00:03,24.9056,67.0822,87.62,70,40,11.5
191,Tiksi,RU,2022-06-28 18:04:47,71.6872,128.8694,38.52,70,76,13.87
